date,rank,player_name,team,positions,fp_player_id,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,K,SLG,OPS,rost_pct_consensus,rost_pct_yahoo,rost_pct_espn
2026-06-23,1,Byron Buxton,MIN,"CF,DH",4672,54,12,7,13,2,.352,.397,19,3,0,4,14,.796,1.193,96%,98%,94%
2026-06-23,2,Nick Kurtz,ATH,1B,7354364,51,14,7,16,0,.353,.476,18,3,0,12,20,.824,1.300,99%,99%,98%
2026-06-23,3,Pete Crow-Armstrong,CHC,CF,23369,46,10,5,8,4,.435,.481,20,4,2,5,12,.935,1.416,98%,99%,97%
2026-06-23,4,Zack Gelof,ATH,"2B,3B,CF",44896,49,17,5,9,2,.367,.426,18,4,0,3,13,.755,1.181,55%,68%,43%
2026-06-23,5,Jac Caglianone,KC,"1B,RF,DH",7354363,52,14,6,12,1,.346,.414,18,2,0,5,16,.731,1.145,54%,71%,37%
2026-06-23,6,Bryan Reynolds,PIT,"LF,CF,RF,DH",6818,47,10,5,12,0,.404,.451,19,5,0,3,11,.830,1.281,90%,93%,86%
2026-06-23,7,Jackson Chourio,MIL,"LF,CF,RF",44592,57,11,6,14,0,.298,.339,17,1,0,3,12,.632,.970,97%,99%,95%
2026-06-23,8,Ivan Herrera,STL,"C,DH",43691,42,15,3,7,3,.333,.541,14,1,0,11,5,.571,1.112,85%,92%,77%
2026-06-23,9,James Wood,WSH,"LF,RF,DH",44720,51,13,3,9,3,.314,.373,16,4,0,6,15,.569,.942,99%,99%,99%
2026-06-23,10,Kyle Schwarber,PHI,"LF,DH",5686,51,11,6,12,0,.314,.397,16,0,0,7,20,.667,1.063,99%,99%,100%
2026-06-23,11,Dillon Dingler,DET,"C,DH",43821,51,11,4,11,0,.392,.396,20,2,2,0,15,.745,1.141,84%,86%,82%
2026-06-23,12,Tyler Soderstrom,ATH,"1B,LF",43845,45,13,5,11,0,.333,.464,15,3,0,10,8,.733,1.198,90%,95%,85%
2026-06-23,13,Otto Lopez,MIA,"2B,SS",10618,51,12,0,6,6,.333,.386,17,5,0,5,4,.431,.817,90%,92%,88%
2026-06-23,14,TJ Rumfield,COL,"1B,DH",45014,49,10,5,13,0,.327,.411,16,4,1,5,7,.755,1.166,35%,27%,44%
2026-06-23,15,Nasim Nunez,WSH,"2B,SS",19789,39,7,0,6,6,.436,.488,17,2,2,4,10,.590,1.078,14%,19%,8%
2026-06-23,16,Pete Alonso,BAL,"1B,DH",6960,50,11,5,13,0,.280,.387,14,1,0,8,17,.600,.987,97%,99%,96%
2026-06-23,17,JJ Wetherholt,STL,"2B,3B,SS",7354366,52,9,3,9,1,.385,.439,20,1,0,4,5,.577,1.016,87%,92%,82%
2026-06-23,18,Jazz Chisholm Jr.,NYY,"2B,3B",8449,43,9,3,6,7,.186,.340,8,0,1,10,13,.442,.782,93%,99%,88%
2026-06-23,19,Samad Taylor,SD,"2B,LF,RF",44697,46,9,1,8,4,.348,.388,16,1,0,3,15,.435,.823,13%,19%,7%
2026-06-23,20,Josh Bell,MIN,"1B,DH",4664,46,9,3,12,0,.370,.431,17,3,0,5,6,.630,1.062,13%,14%,12%
2026-06-23,21,Alec Burleson,STL,"1B,LF,RF,DH",43889,54,9,5,13,0,.278,.333,15,3,1,4,8,.648,.982,94%,93%,94%
2026-06-23,22,Paul Goldschmidt,NYY,"1B,DH",4403,53,5,5,13,0,.340,.357,18,0,0,2,11,.623,.980,30%,38%,21%
2026-06-23,23,Wyatt Langford,TEX,"LF,CF",47238,54,8,4,11,1,.315,.373,17,3,0,5,12,.593,.966,77%,91%,63%
2026-06-23,24,Bobby Witt Jr.,KC,SS,6810,38,7,1,5,5,.395,.465,15,2,0,5,2,.526,.991,99%,99%,100%
2026-06-23,25,Caleb Durbin,BOS,"2B,3B",45944,40,8,4,7,2,.350,.386,14,3,0,3,6,.725,1.111,18%,10%,27%
2026-06-23,26,Carter Jensen,KC,"C,DH",44759,45,10,2,9,1,.378,.429,17,7,0,4,6,.667,1.095,40%,48%,32%
2026-06-23,27,Juan Soto,NYM,"LF,RF,DH",6906,41,8,4,8,0,.415,.529,17,3,0,10,4,.781,1.310,99%,99%,100%
2026-06-23,28,Travis Bazzana,CLE,2B,7354362,42,10,3,7,3,.286,.423,12,2,0,10,10,.548,.971,36%,44%,28%
2026-06-23,29,George Springer,TOR,"LF,CF,RF,DH",4614,41,8,3,7,3,.317,.431,13,1,0,8,9,.561,.992,75%,81%,70%
2026-06-23,30,Shohei Ohtani,LAD,"SP,DH",7354,35,10,6,9,0,.257,.422,9,1,0,10,10,.800,1.222,100%,,100%
2026-06-23,31,Royce Lewis,MIN,"1B,3B",6967,51,8,4,8,2,.294,.351,15,3,0,5,12,.588,.939,29%,46%,12%
2026-06-23,32,Sam Antonacci,CWS,"2B,3B,LF",7354566,38,8,3,7,3,.316,.409,12,2,0,5,9,.605,1.014,25%,32%,18%
2026-06-23,33,CJ Abrams,WSH,SS,19879,49,10,3,8,2,.286,.286,14,2,0,0,10,.510,.796,98%,98%,97%
2026-06-23,34,Fernando Tatis Jr.,SD,"2B,RF",6853,54,9,1,7,3,.333,.373,18,5,0,4,7,.482,.854,99%,99%,99%
2026-06-23,35,Yordan Alvarez,HOU,"LF,DH",6461,48,10,3,8,0,.354,.436,17,2,0,7,9,.583,1.020,99%,99%,100%
2026-06-23,36,Jackson Merrill,SD,CF,44756,57,6,2,7,5,.263,.288,15,3,1,2,12,.456,.744,86%,93%,79%
2026-06-23,37,Kyle Stowers,MIA,"1B,LF,CF,RF,DH",22314,42,7,4,14,0,.262,.404,11,3,0,7,17,.619,1.023,48%,69%,28%
2026-06-23,38,Corbin Carroll,ARI,"CF,RF",23993,50,6,3,11,2,.280,.357,14,2,1,4,9,.540,.897,99%,99%,100%
2026-06-23,39,Jeremy Pena,HOU,SS,43642,46,7,3,6,4,.261,.320,12,2,0,4,11,.500,.820,75%,88%,61%
2026-06-23,40,Bo Bichette,NYM,"3B,SS",6808,50,9,3,10,0,.320,.327,16,3,0,1,9,.560,.887,89%,95%,82%
2026-06-23,41,Henry Bolte,ATH,"CF,RF",46304,43,6,2,5,4,.326,.412,14,1,0,5,15,.488,.900,7%,10%,4%
2026-06-23,42,Cody Bellinger,NYY,"LF,CF,RF",6045,51,8,2,8,3,.275,.351,14,2,0,6,7,.431,.782,99%,99%,99%
2026-06-23,43,Bryce Eldridge,SF,"1B,DH",47216,42,6,4,10,0,.333,.440,14,2,0,8,8,.667,1.107,36%,48%,23%
2026-06-23,44,Donovan Walton,LAA,"2B,3B",10091,30,4,3,10,0,.467,.484,14,3,0,1,3,.867,1.351,1%,1%,1%
2026-06-23,45,Colt Keith,DET,"1B,2B,3B,DH",43891,31,6,4,10,2,.226,.294,7,0,0,1,4,.613,.907,8%,10%,6%
2026-06-23,46,Luis Garcia,WSH,"1B,2B,DH",7507,44,8,4,10,0,.273,.273,12,2,0,0,10,.591,.864,39%,50%,29%
2026-06-23,47,Zach Neto,LAA,SS,46294,59,10,5,8,1,.203,.277,12,1,1,5,28,.509,.785,82%,98%,66%
2026-06-23,48,Bryce Harper,PHI,"1B,DH",4293,44,11,3,7,0,.296,.400,13,3,1,9,10,.614,1.014,98%,99%,98%
2026-06-23,49,Willi Castro,COL,"1B,2B,3B,SS,LF,RF",5997,50,6,2,10,1,.320,.393,16,3,0,6,10,.500,.893,38%,53%,23%
2026-06-23,50,Denzer Guzman,LAA,"3B,SS",45207,51,7,3,11,1,.255,.321,13,2,0,5,10,.471,.792,1%,2%,1%
2026-06-23,51,Dominic Canzone,SEA,"LF,RF,DH",45429,38,7,4,8,0,.316,.409,12,1,1,5,5,.711,1.120,21%,27%,16%
2026-06-23,52,Lawrence Butler,ATH,"CF,RF",45753,34,9,2,6,1,.353,.389,12,3,0,2,10,.618,1.007,23%,36%,10%
2026-06-23,53,Bryson Stott,PHI,"2B,SS",22308,47,8,0,8,3,.298,.365,14,5,1,5,8,.447,.812,41%,44%,38%
2026-06-23,54,William Contreras,MIL,"C,DH",7659,46,9,2,7,0,.348,.423,16,2,0,6,6,.522,.945,98%,98%,99%
2026-06-23,55,Jose Caballero,NYY,"2B,3B,SS,LF,RF",26984,38,6,2,10,2,.263,.348,10,1,0,5,12,.447,.795,53%,71%,35%
2026-06-23,56,Jung Hoo Lee,SF,"CF,RF",48275,43,9,1,4,2,.349,.370,15,4,0,2,2,.512,.881,56%,48%,64%
2026-06-23,57,Dylan Crews,WSH,"CF,RF",8269,49,7,3,11,1,.225,.240,11,3,0,1,11,.469,.709,17%,29%,5%
2026-06-23,58,Mike Trout,LAA,"CF,RF,DH",3785,35,7,3,5,2,.286,.405,10,2,0,6,12,.600,1.005,96%,96%,97%
2026-06-23,59,Sal Stewart,CIN,"1B,2B,3B,DH",46342,49,5,2,15,1,.225,.316,11,3,0,7,12,.408,.724,93%,93%,94%
2026-06-23,60,Cole Carrigg,COL,CF,47210,44,8,3,8,1,.250,.377,11,1,1,8,10,.523,.900,12%,16%,8%
2026-06-23,61,Seiya Suzuki,CHC,"LF,RF,DH",6973,37,6,1,10,0,.378,.465,14,5,0,6,12,.595,1.060,84%,90%,78%
2026-06-23,62,Blaze Alexander,BAL,"2B,3B,SS,LF,CF",8280,34,5,1,6,1,.441,.487,15,4,0,1,4,.647,1.134,10%,13%,6%
2026-06-23,63,Hunter Goodman,COL,"C,DH",45393,49,8,4,8,0,.245,.302,12,1,0,4,15,.510,.812,90%,98%,83%
2026-06-23,64,Masyn Winn,STL,SS,43906,49,10,1,7,1,.286,.333,14,3,0,4,6,.408,.742,20%,34%,7%
2026-06-23,65,Ben Rice,NYY,"C,1B,DH",47445,53,8,4,8,0,.245,.344,13,0,0,8,13,.472,.816,99%,99%,100%
2026-06-23,66,Ceddanne Rafaela,BOS,"2B,CF",45510,50,6,2,8,2,.260,.260,13,5,0,0,9,.480,.740,63%,82%,44%
2026-06-23,67,Gunnar Henderson,BAL,"SS,DH",23372,52,9,3,7,0,.269,.406,14,1,1,11,10,.500,.906,98%,99%,97%
2026-06-23,68,Manny Machado,SD,"3B,DH",3778,51,7,3,10,0,.255,.316,13,7,0,5,10,.569,.884,93%,96%,90%
2026-06-23,69,Ketel Marte,ARI,"2B,DH",5179,53,4,1,9,1,.340,.397,18,5,0,4,5,.491,.887,99%,99%,100%
2026-06-23,70,Noelvi Marte,CIN,"3B,RF",8284,38,5,3,4,3,.263,.282,10,4,0,1,9,.605,.887,24%,39%,9%
2026-06-23,71,Jake Burger,TEX,1B,10074,43,5,3,8,0,.326,.423,14,2,0,7,13,.581,1.005,18%,25%,10%
2026-06-23,72,Kazuma Okamoto,TOR,"1B,3B",7356401,40,7,4,9,0,.225,.319,9,4,0,5,16,.625,.944,64%,84%,45%
2026-06-23,73,Trevor Larnach,MIN,"LF,RF,DH",7176,38,6,2,7,0,.368,.415,14,2,0,2,5,.579,.994,5%,5%,4%
2026-06-23,74,Ozzie Albies,ATL,2B,5980,45,10,2,5,0,.311,.319,14,1,0,1,3,.467,.786,96%,96%,96%
2026-06-23,75,Logan O'Hoppe,LAA,C,43987,37,4,2,7,0,.405,.421,15,4,0,1,9,.676,1.097,4%,6%,3%
2026-06-23,76,Owen Caissie,MIA,"CF,RF,DH",43911,33,4,3,10,1,.242,.270,8,2,0,2,9,.576,.846,3%,4%,3%
2026-06-23,77,Esteury Ruiz,MIA,"LF,CF,RF",10086,22,5,1,3,3,.409,.500,9,4,0,1,6,.727,1.227,2%,3%,1%
2026-06-23,78,Geraldo Perdomo,ARI,SS,43732,42,8,1,5,3,.238,.439,10,1,0,14,9,.333,.772,87%,92%,82%
2026-06-23,79,Liam Hicks,MIA,"C,1B,DH",48340,42,8,1,6,0,.357,.426,15,2,1,4,6,.524,.949,89%,86%,92%
2026-06-23,80,Brooks Lee,MIN,"2B,3B,SS",46266,49,9,3,7,0,.245,.315,12,2,1,5,2,.510,.825,36%,39%,32%
2026-06-23,81,Max Muncy,LAD,3B,5207,36,6,2,9,0,.306,.468,11,3,0,9,7,.556,1.024,75%,86%,63%
2026-06-23,82,Andres Gimenez,TOR,"2B,SS",7049,34,7,1,3,3,.294,.342,10,3,0,0,11,.471,.813,12%,14%,10%
