#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
46,Victor Caratini,MIN,C/1B,C/1B,18.9,91.3,4,13,10,4,5,2,3,0,0,3,0,0.500,0.615,1.100,1.715,37,605170
47,Luis Garcia Jr.,WSH,1B/2B,1B/2B,17.5,52.3,6,22,22,4,7,2,5,0,0,0,3,0.318,0.318,0.591,0.909,100,671277
48,Kyle Karros,COL,3B,3B,17.3,62.4,5,19,18,6,7,1,3,0,0,1,1,0.389,0.421,0.722,1.143,2,691720
49,Andrew Benintendi,CHW,OF,OF,17.2,48.7,6,13,12,3,4,2,6,0,0,1,1,0.333,0.385,0.917,1.301,8,17901
50,Dansby Swanson,CHC,SS,SS,17.1,36.8,6,24,20,5,3,1,3,3,0,4,5,0.150,0.292,0.300,0.592,84,18314
51,Kyle Tucker,LAD,OF,OF,16.6,47.0,6,25,21,2,7,1,6,1,0,3,4,0.333,0.440,0.476,0.916,100,663656
52,Jac Caglianone,KC,OF,1B/OF,16.5,38.3,7,31,28,6,7,2,5,0,0,2,9,0.250,0.323,0.500,0.823,100,695506
53,Max Muncy,LAD,3B,3B,16.2,48.3,6,22,16,3,5,2,6,0,0,6,3,0.313,0.500,0.688,1.188,100,13301
54,Bo Bichette,NYM,SS/3B,SS/3B,16.2,47.8,6,29,28,6,12,0,2,0,0,1,4,0.429,0.448,0.536,0.984,100,666182
55,Rafael Devers,SF,1B,1B,15.6,64.0,5,21,17,2,8,2,3,0,0,4,3,0.471,0.571,1.000,1.571,100,646240
56,CJ Abrams,WSH,SS,SS,15.4,43.7,6,25,25,5,7,1,4,1,0,0,4,0.280,0.280,0.440,0.720,100,682928
57,Joe Mack,MIA,C,C,15.4,83.0,4,13,9,4,4,2,3,0,0,3,0,0.444,0.615,1.222,1.838,66,691788
58,Jose Caballero,NYY,2B/SS/ 3B/OF,2B/SS/ 3B/OF,15.2,65.6,5,21,19,3,5,2,7,0,0,0,8,0.263,0.286,0.579,0.865,100,676609
59,Isaac Collins,KC,OF,OF,14.4,30.4,7,25,23,4,7,0,6,1,1,1,2,0.304,0.333,0.435,0.768,0,686555
60,Casey Schmitt,SF,1B/2B/ 3B/OF,1B/2B/ 3B/OF,14.3,49.8,5,20,19,2,9,0,1,2,0,0,4,0.474,0.500,0.526,1.026,99,669477
61,Zach Neto,LAA,SS,SS,14.2,32.9,7,32,30,5,6,3,3,1,1,2,13,0.200,0.250,0.567,0.817,100,687263
62,Davis Schneider,TOR,2B/OF,2B/OF,14.1,82.8,4,15,14,3,6,2,3,0,0,1,3,0.429,0.467,1.000,1.467,0,676914
63,Royce Lewis,MIN,3B,3B,13.8,42.7,6,26,24,4,5,2,5,1,0,2,8,0.208,0.269,0.500,0.769,98,668904
64,James Wood,WSH,OF,OF,13.5,39.8,6,27,23,5,6,1,4,1,0,3,7,0.261,0.333,0.478,0.812,100,695578
65,Isiah Kiner-Falefa,BOS,2B/SS/ 3B,2B/SS/ 3B,13.2,47.6,5,19,17,3,6,1,1,2,0,2,2,0.353,0.421,0.529,0.950,0,643396
66,Luis Arraez,SF,1B/2B,1B/2B,13.1,55.8,5,25,23,4,6,1,5,1,0,1,0,0.261,0.292,0.522,0.813,100,650333
67,Seiya Suzuki,CHC,OF,OF,12.8,54.4,5,22,17,4,8,0,4,0,0,5,5,0.471,0.591,0.647,1.238,100,673548
68,Ryan O’Hearn,PIT,1B/OF,1B/OF,12.3,45.7,6,27,27,2,9,1,7,0,0,0,5,0.333,0.333,0.519,0.852,100,656811
69,Blaze Jordan,STL,1B,1B,12.2,30.9,7,27,26,5,7,1,6,0,0,1,0,0.269,0.296,0.538,0.835,0,691458
70,Alec Bohm,PHI,3B,1B/3B,11.5,42.2,6,22,21,2,7,1,7,0,0,0,4,0.333,0.318,0.524,0.842,93,664761
71,Fernando Tatis Jr.,SD,2B/OF,2B/OF,11.2,32.2,6,28,24,3,7,0,4,2,0,3,4,0.292,0.357,0.375,0.732,100,665487
72,Jacob Wilson,ATH,SS,SS,10.9,41.7,6,26,24,3,7,1,7,0,0,2,3,0.292,0.346,0.500,0.846,97,805779
73,JJ Wetherholt,STL,2B/SS,2B/SS,10.4,36.5,6,28,25,2,9,1,3,1,0,3,2,0.360,0.429,0.520,0.949,100,802139
74,Ketel Marte,ARI,2B,2B,10.3,39.5,6,28,24,3,9,1,4,0,0,3,1,0.375,0.464,0.542,1.006,100,13613
75,Logan O’Hoppe,LAA,C,C,9.6,50.2,5,20,19,3,8,1,3,0,0,1,4,0.421,0.450,0.684,1.134,81,681351
76,Ty France,SD,1B,1B,9.1,74.0,4,15,15,2,4,2,6,0,0,0,4,0.267,0.267,0.733,1.000,0,664034
77,JJ Bleday,CIN,OF,OF,8.8,35.3,6,24,17,4,3,2,6,0,1,5,5,0.176,0.375,0.529,0.904,100,668709
78,Cody Bellinger,NYY,OF,OF,8.3,35.0,6,26,24,5,7,1,4,0,0,2,3,0.292,0.346,0.458,0.804,100,15998
79,Willson Contreras,BOS,1B,1B,8.1,35.5,6,26,24,4,7,2,3,0,0,2,9,0.292,0.346,0.583,0.929,100,11609
80,Gavin Sheets,SD,1B/OF,1B/OF,7.6,30.3,6,24,21,3,5,2,3,1,0,3,6,0.238,0.333,0.524,0.857,83,657757
81,Troy Johnston,COL,1B/OF,1B/OF,7.1,63.5,4,16,12,3,4,1,5,0,1,2,1,0.333,0.500,0.667,1.167,93,687859
82,Owen Caissie,MIA,OF,OF,6.9,64.8,4,13,12,2,4,2,4,0,1,0,5,0.333,0.308,0.917,1.224,20,683357
83,Dillon Dingler,DET,C,C,6.9,41.6,5,21,19,5,8,0,2,0,0,0,6,0.421,0.429,0.632,1.060,100,693307
84,Kyle Stowers,MIA,OF,OF,6.8,48.0,5,22,20,2,5,2,6,0,0,1,10,0.250,0.318,0.600,0.918,100,669065
85,Cole Carrigg,COL,OF,OF,6.8,27.2,6,26,21,5,4,1,4,1,0,5,5,0.190,0.346,0.333,0.679,98,694249
86,Matt Shaw,CHC,3B/OF,3B/OF,6.8,42.8,5,20,17,5,6,0,4,0,0,2,2,0.353,0.450,0.588,1.038,10,807713
87,Edmundo Sosa,PHI,2B/3B/ OF,2B/SS/ 3B/OF,6.2,40.2,5,17,16,4,7,1,1,0,0,0,2,0.438,0.471,0.750,1.221,0,624641
88,Sal Stewart,CIN,1B/3B,1B/3B,6.1,28.3,6,24,22,3,5,1,5,1,1,2,5,0.227,0.292,0.409,0.701,100,701398
89,Daniel Schneemann,CLE,2B/3B/ OF,2B/SS/ 3B/OF,5.9,43.6,5,15,13,3,2,2,6,0,0,2,7,0.154,0.267,0.615,0.882,13,682177
