#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
181,Alec Burleson,STL,1B/OF,1B/OF,-14.2,-6.0,7,31,29,2,6,1,4,0,0,1,4,0.207,0.226,0.379,0.605,100,676475
182,Jasson Dominguez,NYY,OF,OF,-14.2,2.0,5,22,21,3,5,1,1,0,0,1,5,0.238,0.273,0.524,0.797,100,691176
183,Kazuma Okamoto,TOR,3B,3B,-14.3,-5.0,6,23,20,3,4,1,2,0,0,3,8,0.200,0.304,0.450,0.754,100,672960
184,Raynel Delgado,HOU,2B,2B,-14.4,45.5,2,7,7,1,3,0,2,0,0,0,1,0.429,0.429,0.429,0.857,0,669384
185,Carson Benge,NYM,OF,OF,-14.7,-8.8,6,29,27,3,7,0,0,1,0,2,5,0.259,0.310,0.333,0.644,100,701807
186,Brandon Nimmo,TEX,OF,OF,-15.0,-4.7,6,23,23,1,7,0,3,0,0,0,3,0.304,0.304,0.522,0.826,99,12927
187,Christian Walker,HOU,1B,1B,-15.1,-5.0,6,26,23,3,4,1,3,0,0,3,4,0.174,0.269,0.348,0.617,100,13419
188,Jordan Walker,STL,OF,OF,-15.2,-7.1,7,30,28,1,7,1,3,0,0,1,6,0.250,0.267,0.357,0.624,100,691023
189,Brett Sullivan,COL,C,C,-15.4,17.0,3,10,8,2,1,1,2,0,0,1,2,0.125,0.200,0.500,0.700,0,664954
190,Alejandro Osuna,TEX,OF,OF,-15.4,-3.4,5,16,16,3,4,0,2,0,0,0,4,0.250,0.250,0.313,0.563,0,696030
191,Eli White,ATL,OF,OF,-16.0,-2.8,5,17,16,1,4,1,2,0,0,1,4,0.250,0.294,0.563,0.857,0,642201
192,Stuart Fairchild,CLE,OF,OF,-16.0,3.3,3,8,6,1,2,0,0,1,0,1,4,0.333,0.500,0.333,0.833,0,656413
193,Vladimir Guerrero Jr.,TOR,1B,1B,-16.1,6.8,4,15,15,1,3,1,3,0,0,0,1,0.200,0.200,0.400,0.600,100,665489
194,Otto Lopez,MIA,2B/SS,2B/SS,-16.1,-12.5,6,26,21,2,5,0,1,1,0,4,2,0.238,0.346,0.286,0.632,100,672640
195,Marcelo Mayer,BOS,2B/SS/ 3B,2B/SS/ 3B,-16.1,-3.0,5,19,16,1,4,0,4,0,0,3,5,0.250,0.368,0.313,0.681,9,691785
196,Jonny DeLuca,TB,OF,OF,-16.5,107.0,1,4,4,1,1,1,1,0,0,0,1,0.250,0.250,1.000,1.250,1,676356
197,Ezequiel Duran,TEX,1B/2B/ SS/3B/ OF,1B/2B/ SS/3B/ OF,-16.6,-2.0,5,22,18,2,3,1,3,0,0,4,7,0.167,0.318,0.333,0.652,96,677649
198,Brayan Rocchio,CLE,2B/SS,2B/SS,-16.7,-9.6,5,20,18,2,4,0,1,1,0,2,4,0.222,0.300,0.333,0.633,93,677587
199,Elias Diaz,TEX,C,C,-16.9,1.0,4,12,12,1,4,0,2,0,0,0,2,0.333,0.333,0.417,0.750,0,11680
200,Tristan Peters,CHW,OF,OF,-16.9,-11.0,6,17,15,3,2,1,2,0,0,1,3,0.133,0.235,0.333,0.569,6,671976
201,Nick Gonzales,PIT,2B/3B,2B/SS/ 3B,-17.0,-12.2,6,25,24,2,5,0,2,1,0,0,4,0.208,0.240,0.292,0.532,46,693304
202,Salvador Perez,KC,C/1B,C/1B,-17.2,-11.7,7,30,30,3,7,1,1,0,0,0,5,0.233,0.233,0.400,0.633,99,7304
203,Jordan Lawlar,ARI,3B,3B,-17.2,-12.4,5,19,16,2,4,0,0,1,0,2,3,0.250,0.368,0.313,0.681,99,691783
204,Blake Dunn,CIN,OF,OF,-17.2,-4.5,4,18,16,2,4,0,0,1,1,1,2,0.250,0.333,0.375,0.708,32,694362
205,Jose Tena,WSH,3B,2B/3B,-17.4,-7.5,4,10,10,0,3,0,1,1,0,0,4,0.300,0.300,0.300,0.600,0,677588
206,Nick Loftin,KC,2B/3B/ OF,2B/3B/ OF,-17.4,-10.8,6,22,19,1,6,0,2,0,0,3,4,0.316,0.409,0.526,0.935,0,679845
207,Pedro Pages,STL,C,C,-17.4,9.0,3,10,9,1,3,0,2,0,0,0,2,0.333,0.300,0.556,0.856,4,686780
208,Jake McCarthy,COL,OF,OF,-17.5,-0.8,4,18,17,2,6,0,0,0,0,1,2,0.353,0.389,0.412,0.801,94,664983
209,Ceddanne Rafaela,BOS,2B/OF,2B/OF,-17.5,-9.0,6,26,25,2,7,0,2,0,1,0,6,0.280,0.280,0.400,0.680,100,678882
210,Brandon Lowe,PIT,2B,2B,-17.7,-8.5,6,29,25,3,4,1,3,0,0,3,11,0.160,0.241,0.320,0.561,100,664040
211,Julio Rodriguez,SEA,OF,OF,-18.0,-4.8,5,20,19,2,3,1,3,0,0,1,6,0.158,0.200,0.368,0.568,100,677594
212,Brice Matthews,HOU,2B/OF,2B/OF,-18.0,-7.0,5,15,14,1,3,1,2,0,0,1,4,0.214,0.267,0.500,0.767,6,694728
213,William Contreras,MIL,C,C,-18.1,-13.3,6,23,20,3,6,0,0,0,0,3,2,0.300,0.391,0.350,0.741,100,661388
214,Ezequiel Tovar,COL,SS,SS,-18.1,-9.2,5,20,19,3,5,0,1,0,0,1,6,0.263,0.300,0.316,0.616,83,678662
215,Connor Wong,BOS,C,C,-18.2,13.5,2,6,5,0,2,0,0,1,0,1,2,0.400,0.500,0.400,0.900,0,657136
216,Jackson Holliday,BAL,2B,2B/SS,-18.2,-12.8,6,19,17,3,3,1,1,0,0,2,6,0.176,0.263,0.412,0.675,99,702616
217,Matt McLain,CIN,2B/SS,2B/SS,-18.3,-18.8,6,21,16,3,3,0,0,1,0,4,8,0.188,0.381,0.313,0.693,98,680574
218,Gary Sanchez,MIL,C,C,-18.5,-12.0,5,11,10,2,3,0,1,0,0,1,1,0.300,0.364,0.300,0.664,9,11442
219,Joc Pederson,TEX,DH,DH,-18.5,-12.8,6,19,17,2,3,1,2,0,0,1,6,0.176,0.263,0.353,0.616,9,11899
220,Josh Jung,TEX,3B,3B,-18.6,-13.8,6,27,23,4,6,0,0,0,0,3,3,0.261,0.370,0.261,0.631,100,673962
221,Sal Frelick,MIL,OF,OF,-18.7,-6.5,4,11,9,2,2,0,2,0,0,2,0,0.222,0.364,0.333,0.697,65,686217
222,Daniel Susac,SF,C,C,-19.0,-0.7,3,12,10,0,2,0,2,1,0,0,2,0.200,0.182,0.200,0.382,36,691740
223,Kyle Manzardo,CLE,1B,1B,-19.0,-9.2,5,18,15,2,3,1,1,0,0,2,5,0.200,0.333,0.400,0.733,44,700932
224,Alex Call,LAD,OF,OF,-19.2,-5.7,3,8,7,1,1,0,1,1,0,1,3,0.143,0.250,0.143,0.393,0,669743
225,Ryan McMahon,NYY,3B,3B,-19.4,-9.6,5,16,15,1,3,1,2,0,1,1,3,0.200,0.250,0.400,0.650,0,15112
226,Matt Chapman,SF,3B,3B,-19.5,-7.2,5,23,19,2,2,1,4,0,0,3,7,0.105,0.217,0.263,0.481,100,16505
227,Jacob Young,WSH,OF,OF,-19.5,-11.3,4,15,14,1,3,0,1,1,1,1,2,0.214,0.267,0.357,0.624,35,696285
228,Andres Chaparro,WSH,1B,1B,-19.8,9.5,2,3,2,2,1,0,0,0,0,1,0,0.500,0.667,1.000,1.667,0,665953
229,Trea Turner,PHI,SS,SS,-20.0,-17.0,5,20,18,2,4,0,0,1,0,0,5,0.222,0.300,0.278,0.578,100,16252
230,Alex Jackson,MIN,C,C,-20.0,-0.7,3,11,11,2,3,0,1,0,0,0,3,0.273,0.273,0.455,0.727,0,656577
231,Gabriel Rincones Jr.,PHI,OF,OF,-20.0,-4.5,4,12,12,1,2,1,2,0,0,0,1,0.167,0.167,0.417,0.583,0,687282
232,Matt Olson,ATL,1B,1B,-20.4,-13.2,5,21,19,2,6,0,0,0,0,2,4,0.316,0.381,0.316,0.697,100,14344
233,Drew Gilbert,SF,OF,OF,-20.4,-15.8,5,20,13,4,2,0,1,0,1,5,1,0.154,0.450,0.231,0.681,0,687551
234,Will Wagner,SD,3B,1B/3B,-20.5,-19.3,6,17,15,3,4,0,0,0,0,2,4,0.267,0.353,0.267,0.620,0,695238
235,Francisco Alvarez,NYM,C,C,-20.7,-12.6,5,21,19,1,6,0,1,0,0,2,4,0.316,0.381,0.316,0.697,96,682626
236,Alex Freeland,LAD,2B/3B,2B/3B,-20.8,-17.2,6,19,17,1,4,0,3,0,0,1,10,0.235,0.263,0.294,0.557,0,690976
237,Jorbit Vivas,WSH,2B/3B,2B/3B,-21.2,9.5,2,7,6,1,2,0,1,0,0,1,1,0.333,0.429,0.333,0.762,0,678391
238,Matt Vierling,DET,OF,OF,-21.4,-8.5,4,13,13,1,2,1,2,0,0,0,2,0.154,0.154,0.385,0.538,1,663837
239,Brandon Valenzuela,TOR,C,C,-21.4,10.0,2,8,7,0,3,0,1,0,0,1,3,0.429,0.500,0.571,1.071,33,678218
240,Heriberto Hernandez,MIA,OF,OF,-21.6,-12.0,5,20,20,1,4,1,2,0,0,0,8,0.200,0.200,0.400,0.600,11,681715
241,Masataka Yoshida,BOS,DH,OF,-22.0,-6.7,3,11,11,1,4,0,0,0,0,0,2,0.364,0.364,0.455,0.818,0,807799
242,Chase Meidroth,CHW,2B/SS,2B/SS,-22.1,-17.0,6,24,23,2,4,1,2,0,0,0,12,0.174,0.208,0.348,0.556,73,805367
243,Kameron Misner,KC,OF,OF,-22.2,-12.3,3,11,11,0,3,0,0,1,0,0,5,0.273,0.273,0.273,0.545,1,670224
244,Drake Baldwin,ATL,C,C,-22.5,-2.7,3,14,14,2,2,1,1,0,0,0,7,0.143,0.143,0.357,0.500,100,686948
245,Miles Mastrobuoni,FA,3B/OF,2B/3B/ OF,-22.6,-24.2,5,16,13,2,2,0,0,1,0,2,6,0.154,0.267,0.154,0.421,0,670156
246,Mitch Garver,SEA,C,C,-22.7,2.5,2,7,7,1,2,0,1,0,0,0,4,0.286,0.286,0.286,0.571,2,15161
247,Jose Fermin,STL,2B/OF,2B/OF,-22.7,-17.6,5,16,16,1,4,0,2,0,0,0,1,0.250,0.250,0.250,0.500,0,665877
248,Richie Palacios,TB,2B/OF,2B/OF,-22.9,-15.3,4,14,13,2,3,0,1,0,0,1,3,0.231,0.286,0.385,0.670,5,680700
249,Gleyber Torres,DET,2B,2B,-23.0,-3.5,2,6,5,1,2,0,0,0,0,1,1,0.400,0.500,0.600,1.100,75,16997
250,Manny Machado,SD,3B,3B,-23.1,-18.7,6,27,23,3,3,1,2,0,0,3,7,0.130,0.222,0.304,0.527,100,11493
251,Joey Loperfido,HOU,OF,OF,-23.1,-22.2,5,13,10,3,2,0,0,0,0,3,0,0.200,0.385,0.400,0.785,0,694388
252,Ben Williamson,TB,2B/SS/ 3B,2B/SS/ 3B,-23.3,-14.8,4,12,12,1,2,1,1,0,0,0,0,0.167,0.167,0.417,0.583,0,810938
253,David Hamilton,MIL,2B/SS/ 3B,2B/SS/ 3B,-23.4,-22.8,4,12,11,1,2,0,0,1,1,0,2,0.182,0.182,0.182,0.364,33,666152
254,Eric Wagaman,NYM,1B/OF,1B/3B/ OF,-23.4,-19.5,4,6,5,0,2,0,1,0,0,1,3,0.400,0.500,0.400,0.900,0,676572
255,Nolan Arenado,ARI,3B,3B,-23.5,-27.5,6,25,24,1,4,0,0,2,0,1,6,0.167,0.200,0.167,0.367,64,9777
256,Jair Camargo,ATL,C,C,-23.5,22.0,1,2,2,1,1,0,0,0,0,0,1,0.500,0.500,1.000,1.500,0,665856
257,Tyler Tolbert,KC,OF,SS/OF,-24.0,-16.0,3,9,7,2,1,0,1,0,0,1,3,0.143,0.222,0.143,0.365,0,686475
258,Hunter Feduccia,TB,C,C,-24.1,-19.0,4,14,13,3,2,0,1,0,0,1,3,0.154,0.214,0.231,0.445,1,676439
259,Wilyer Abreu,BOS,OF,OF,-24.3,-24.0,6,26,24,0,5,0,2,1,1,2,5,0.208,0.269,0.250,0.519,100,677800
260,Luisangel Acuna,CHW,2B/SS/ OF,2B/SS/ OF,-24.4,-20.0,4,9,9,0,3,0,1,0,1,0,3,0.333,0.333,0.333,0.667,5,682668
261,Oswald Peraza,LAA,2B/3B,1B/2B/ SS/3B,-24.6,-23.7,6,22,22,2,6,0,0,0,1,0,9,0.273,0.273,0.364,0.636,54,672724
262,Michael Busch,CHC,1B,1B,-24.6,-26.5,6,28,21,1,4,0,1,1,0,6,4,0.190,0.393,0.238,0.631,100,683737
263,Cam Smith,HOU,OF,OF,-24.6,-23.0,6,23,22,2,6,0,0,0,0,1,5,0.273,0.304,0.364,0.668,96,701358
264,Mike Yastrzemski,ATL,OF,OF,-24.7,-22.0,5,15,13,1,2,1,1,0,0,2,5,0.154,0.267,0.385,0.651,2,573262
265,Miguel Amaya,CHC,C,C,-24.7,-8.0,2,8,7,0,3,0,0,0,0,0,1,0.429,0.500,0.714,1.214,2,665804
266,Ryan Ward,LAD,OF,OF,-24.8,-24.6,5,16,12,2,3,0,0,0,0,4,5,0.250,0.438,0.417,0.854,5,669899
267,Jose Ramirez,CLE,3B,3B,-25.0,8.0,1,3,3,1,1,0,0,0,0,0,0,0.333,0.333,0.667,1.000,100,13510
268,Derek Hill,PHI,OF,OF,-25.1,-20.8,4,12,12,1,3,0,1,0,0,0,6,0.250,0.250,0.250,0.500,0,656537
269,Taylor Walls,TB,SS,SS,-25.1,-21.4,5,17,14,0,3,0,3,0,0,1,4,0.214,0.250,0.214,0.464,0,670764
270,Andrew Vaughn,MIL,1B,1B,-25.1,-26.7,6,17,12,1,3,0,1,0,0,5,3,0.250,0.471,0.417,0.887,79,683734
271,Cal Raleigh,SEA,C,C,-25.3,-20.8,4,16,11,1,2,0,2,0,0,5,5,0.182,0.438,0.182,0.619,100,663728
272,Gabriel Arias,CLE,2B/SS,2B/SS/ 3B,-25.4,-14.7,3,13,13,0,4,0,1,0,0,0,6,0.308,0.308,0.385,0.692,0,672356
273,Vinnie Pasquantino,KC,1B,1B,-25.4,10.0,1,3,3,0,1,0,1,0,0,0,1,0.333,0.333,0.333,0.667,69,686469
274,Dominic Smith,ATL,1B,1B,-25.5,-24.0,5,15,12,0,3,0,2,0,0,1,3,0.250,0.267,0.333,0.600,2,15653
275,Santiago Espinal,FA,2B/3B,2B/SS/ 3B/OF,-25.6,1.0,1,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,669289
276,Chase DeLauter,CLE,OF,OF,-25.6,1.0,1,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,95,800050
277,Ildemaro Vargas,ARI,1B/2B,1B/2B/ 3B,-25.7,-22.5,4,15,13,3,1,0,2,0,0,2,2,0.077,0.200,0.077,0.277,29,13324
278,Max Schuemann,NYY,2B/SS/ 3B/OF,2B/SS/ 3B/OF,-25.9,-16.5,2,6,6,2,1,0,0,0,0,0,1,0.167,0.167,0.333,0.500,0,680474
279,Jose Trevino,CIN,C,C,-26.0,-15.0,2,7,7,1,2,0,0,0,0,0,1,0.286,0.286,0.286,0.571,0,624431
280,Yainer Diaz,HOU,C,C,-26.0,-15.5,2,8,7,1,2,0,0,0,0,1,2,0.286,0.375,0.429,0.804,93,673237
281,Tyler Callihan,PIT,OF,OF,-26.0,-26.8,6,18,17,1,5,0,0,0,0,0,6,0.294,0.333,0.294,0.627,2,682997
282,Drew Millas,WSH,C,C,-26.0,-16.0,2,7,7,1,2,0,0,0,0,0,2,0.286,0.286,0.429,0.714,0,686452
283,Coby Mayo,BAL,1B/3B,1B/3B,-26.0,-22.7,3,7,7,1,2,0,0,0,0,0,3,0.286,0.286,0.429,0.714,19,691723
284,Tyler Stephenson,CIN,C,C,-26.2,-24.8,4,13,13,2,3,0,0,0,0,0,6,0.231,0.231,0.231,0.462,84,663886
285,Tommy Edman,LAD,2B/OF,2B/3B/ OF,-26.2,-16.0,2,9,8,0,3,0,0,0,0,1,1,0.375,0.444,0.500,0.944,4,669242
286,Leody Taveras,BAL,OF,OF,-26.3,-27.8,6,23,22,0,4,0,2,1,0,0,10,0.182,0.182,0.364,0.545,10,665750
287,Luis Rengifo,FA,2B/3B,2B/SS/ 3B,-26.5,-4.0,1,4,4,1,1,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0,650859
288,Nathaniel Lowe,CIN,1B,1B,-26.5,-26.6,5,16,14,1,4,0,0,0,0,2,5,0.286,0.375,0.357,0.732,34,663993
289,Logan Porter,LAA,C,C,-26.5,-21.0,2,6,4,1,1,0,0,0,0,2,2,0.250,0.500,0.500,1.000,0,682515
290,Lourdes Gurriel Jr.,ARI,OF,OF,-26.7,-19.0,3,12,12,1,2,0,2,0,0,0,1,0.167,0.167,0.167,0.333,13,666971
291,Yandy Diaz,TB,1B,1B,-27.4,-27.0,6,27,23,2,5,0,1,0,0,3,5,0.217,0.333,0.217,0.551,100,650490
292,Nelson Velazquez,STL,OF,OF,-27.5,-29.8,4,10,8,1,2,0,0,0,0,2,3,0.250,0.400,0.375,0.775,1,676369
293,J.C. Escarra,NYY,C,C,-27.6,-27.5,4,15,14,2,3,0,0,0,0,1,0,0.214,0.267,0.286,0.552,0,641555
294,David Fry,CLE,OF,OF,-28.2,-28.6,5,14,12,1,1,1,1,0,0,2,3,0.083,0.214,0.333,0.548,0,681807
295,Nick Solak,SD,1B,1B,-28.4,-30.7,3,6,5,0,1,0,1,0,0,0,0,0.200,0.167,0.200,0.367,0,669256
296,Michael Helman,TEX,OF,OF,-29.0,-27.0,1,4,2,0,0,0,1,0,0,0,0,0.000,0.250,0.000,0.250,0,680737
297,Austin Riley,ATL,3B,3B,-29.2,-29.4,5,20,19,0,5,0,1,0,0,1,6,0.263,0.300,0.316,0.616,99,663586
298,Eric Haase,SF,C,C,-29.5,-32.5,2,8,6,1,1,0,0,0,0,1,1,0.167,0.286,0.167,0.452,1,606992
299,Amed Rosario,NYY,3B,2B/3B,-29.5,-34.0,2,6,6,1,1,0,0,0,0,0,1,0.167,0.167,0.333,0.500,0,642708
300,Moises Ballesteros,CHC,DH,C,-29.5,-35.3,3,7,6,1,1,0,0,0,0,1,2,0.167,0.286,0.333,0.619,13,694208
301,Sung-Mun Song,SD,2B/3B,2B/3B,-29.5,-35.0,3,6,6,1,1,0,0,0,0,0,1,0.167,0.167,0.167,0.333,0,823550
302,Samuel Basallo,BAL,C,C,-29.7,-31.0,6,24,22,1,5,0,1,0,0,2,6,0.227,0.292,0.227,0.519,100,694212
303,Colton Cowser,BAL,OF,OF,-29.9,-34.2,5,15,13,1,3,0,0,0,0,2,5,0.231,0.333,0.231,0.564,83,681297
304,Connor Joe,SEA,OF,1B/OF,-30.2,-39.0,1,4,4,0,1,0,0,0,0,0,3,0.250,0.250,0.250,0.500,0,656582
305,Ryan Waldschmidt,ARI,OF,OF,-30.2,-39.0,1,4,4,0,1,0,0,0,0,0,1,0.250,0.250,0.500,0.750,79,814439
306,Wade Meckler,LAA,OF,OF,-30.3,-33.7,7,20,19,1,4,0,1,0,0,1,6,0.211,0.250,0.263,0.513,18,685133
307,Edouard Julien,COL,1B/2B,1B/2B,-30.4,-36.3,4,12,10,1,2,0,0,0,0,2,1,0.200,0.333,0.200,0.533,1,666397
308,Carlos Narvaez,BOS,C,C,-30.6,-35.7,3,10,9,1,1,0,1,0,0,0,5,0.111,0.100,0.111,0.211,21,665966
309,Patrick Wisdom,SEA,1B,1B,-30.7,-51.0,1,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,13602
310,Trey Mancini,FA,1B,1B,-30.7,-51.0,1,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,15149
311,Freddy Fermin,SD,C,C,-30.7,-51.0,1,3,1,0,0,0,0,0,0,2,0,0.000,0.667,0.000,0.667,0,666023
312,Will Benson,CIN,OF,OF,-30.7,-51.0,1,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,666181
313,Jarred Kelenic,TEX,OF,OF,-30.7,-51.0,1,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,672284
314,Jorge Barrosa,ARI,OF,OF,-30.7,-44.5,2,2,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,678489
315,Angel Martinez,CLE,2B/OF,2B/OF,-30.7,-51.0,1,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,97,682657
316,Daylen Lile,WSH,OF,OF,-30.8,-33.5,6,23,21,2,3,0,2,0,1,1,2,0.143,0.217,0.286,0.503,100,695734
317,Henry Davis,PIT,C,C,-31.0,-40.0,2,8,7,1,1,0,0,0,1,0,2,0.143,0.250,0.286,0.536,2,680779
318,Xander Bogaerts,SD,SS,SS,-31.1,-36.0,6,23,18,3,2,0,1,0,0,3,5,0.111,0.304,0.111,0.415,98,12161
319,Rhys Hoskins,CLE,1B,1B,-31.1,-31.2,5,21,20,1,2,1,2,0,0,1,9,0.100,0.143,0.300,0.443,0,656555
320,Cody Freeman,TEX,2B,2B/3B/ OF,-31.3,-37.2,5,15,14,1,3,0,0,0,0,1,4,0.214,0.267,0.214,0.481,0,683227
321,Garrett Stubbs,PHI,DH,C,-31.6,-53.0,1,4,4,1,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,596117
322,Zack Short,NYM,SS,SS,-31.6,-46.5,2,5,4,1,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,670097
323,Spencer Steer,CIN,1B/2B/ OF,1B/2B/ OF,-31.8,-33.8,5,19,17,1,1,1,2,0,0,2,7,0.059,0.158,0.235,0.393,100,668715
324,Kyler Fedko,MIN,OF,OF,-32.0,-44.0,2,5,4,0,0,0,1,0,0,0,2,0.000,0.000,0.000,0.000,0,693459
325,Orlando Arcia,MIN,2B/SS/ 3B,2B/SS/ 3B,-32.3,-64.0,1,2,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,13185
326,Rowdy Tellez,ATL,1B,1B,-32.3,-51.0,2,2,2,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,15679
327,Nate Eaton,BOS,OF,3B/OF,-32.3,-64.0,1,2,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,681987
328,Brett Baty,NYM,1B/2B/ 3B/OF,1B/2B/ 3B/OF,-32.3,-37.8,4,16,11,0,2,0,1,0,0,3,6,0.182,0.438,0.182,0.619,59,683146
329,Collin Price,HOU,C,C,-32.3,-64.0,1,2,2,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,805672
330,Jorge Mateo,ATL,SS,2B/SS/ OF,-32.5,-42.8,4,8,8,1,1,0,0,0,0,0,2,0.125,0.125,0.125,0.250,2,17273
331,Myles Straw,TOR,OF,OF,-32.5,-43.7,3,9,8,1,1,0,0,0,0,1,1,0.125,0.222,0.250,0.472,0,664702
332,Esmerlyn Valdez,PIT,OF,OF,-32.5,-43.3,3,8,8,1,1,0,0,0,0,0,3,0.125,0.125,0.250,0.375,3,699013
333,Austin Hedges,CLE,C,C,-32.7,-42.0,3,10,9,0,2,0,0,0,0,0,1,0.222,0.222,0.222,0.444,0,12976
334,Ozzie Albies,ATL,2B,2B,-32.7,-37.2,5,21,21,2,4,0,0,0,0,0,2,0.190,0.190,0.190,0.381,100,16556
335,Josh Smith,TEX,1B/2B/ SS/3B,1B/2B/ SS/3B/ OF,-32.7,-43.0,3,9,9,0,2,0,0,0,0,0,2,0.222,0.222,0.333,0.556,3,669701
336,Edwin Arroyo,CIN,SS,SS,-32.7,-37.2,6,22,20,2,3,0,1,0,0,0,4,0.150,0.227,0.200,0.427,2,695490
337,Josh Naylor,SEA,1B,1B,-32.8,-39.0,4,15,15,1,3,0,0,0,0,0,2,0.200,0.200,0.333,0.533,100,647304
338,Spencer Torkelson,DET,1B,1B,-32.8,-36.8,5,20,18,2,1,1,1,0,0,2,8,0.056,0.150,0.222,0.372,92,679529
339,Christian Moore,LAA,2B,2B,-32.8,-45.0,2,9,8,0,1,0,1,0,0,0,7,0.125,0.111,0.125,0.236,0,695681
340,Austin Martin,MIN,OF,OF,-33.1,-43.3,4,12,11,2,1,0,0,0,0,1,5,0.091,0.167,0.182,0.348,20,668885
341,Patrick Bailey,CLE,C,C,-33.2,-51.0,2,6,6,0,1,0,0,0,0,0,4,0.167,0.167,0.167,0.333,0,672275
342,Victor Robles,SEA,OF,OF,-33.6,-39.2,6,20,19,1,4,0,0,0,0,1,2,0.211,0.250,0.211,0.461,0,645302
343,Riley Greene,DET,OF,OF,-33.6,-39.2,5,21,19,1,4,0,0,0,0,2,7,0.211,0.286,0.211,0.496,100,682985
344,Dalton Rushing,LAD,C,C,-33.7,-39.2,5,21,18,1,3,0,1,0,0,2,9,0.167,0.286,0.278,0.563,89,687221
345,Jhonny Pereda,SEA,C,C,-33.8,-76.0,1,3,3,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,640902
346,Chuckie Robinson,LAD,C,C,-33.8,-76.0,1,3,3,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,642020
347,Weston Wilson,SEA,3B/OF,2B/3B/ OF,-33.8,-76.0,1,3,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,642215
348,Vidal Brujan,NYM,3B,SS/3B/ OF,-33.8,-57.5,2,3,3,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,660644
349,Bryan Torres,STL,OF,OF,-33.8,-76.0,1,3,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,663494
350,Taylor Trammell,HOU,OF,OF,-33.8,-57.5,2,3,3,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,666211
351,Dane Myers,CIN,OF,OF,-33.8,-57.5,2,3,3,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,667472
352,Trei Cruz,DET,SS,SS,-33.8,-76.0,1,3,3,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000,0,669360
353,Billy Cook,PIT,OF,OF,-33.8,-57.5,2,3,3,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,695257
354,Christian Vazquez,HOU,C,C,-33.9,-47.0,3,10,9,1,1,0,0,0,0,1,2,0.111,0.200,0.111,0.311,15,9774
355,Bryce Harper,PHI,1B,1B,-33.9,-40.0,6,26,19,3,1,0,2,0,1,5,6,0.053,0.231,0.053,0.283,100,11579
356,Luis Torrens,NYM,C,C,-33.9,-51.5,2,9,9,1,1,0,0,0,0,0,1,0.111,0.111,0.111,0.222,3,620443
357,Leo Jimenez,MIA,2B/3B,2B/SS/ 3B,-33.9,-47.3,3,9,9,1,1,0,0,0,0,0,5,0.111,0.111,0.222,0.333,0,677870
358,Jimmy Crooks,STL,C,C,-33.9,-41.4,5,13,11,0,1,0,2,0,0,2,2,0.091,0.231,0.182,0.413,17,699625
359,Mickey Gasper,BOS,C,C,-34.5,-41.0,5,17,16,0,3,0,1,0,0,1,1,0.188,0.235,0.250,0.485,25,681508
360,LuJames Groover,ARI,3B,3B,-34.6,-46.0,4,13,12,2,1,0,0,0,0,1,3,0.083,0.154,0.167,0.321,0,694410
361,Jahmai Jones,DET,OF,OF,-34.7,-47.5,4,7,7,0,1,0,0,0,0,0,3,0.143,0.143,0.143,0.286,0,663330
362,Adrian Del Castillo,ARI,C,C,-34.7,-56.5,2,7,7,0,1,0,0,0,0,0,3,0.143,0.143,0.143,0.286,3,680728
363,Vaughn Grissom,LAA,1B/2B,1B/2B,-34.7,-56.5,2,8,7,0,1,0,0,0,0,1,0,0.143,0.250,0.143,0.393,7,687093
364,Xavier Edwards,MIA,2B/SS,2B/SS,-35.1,-41.8,5,21,18,1,2,0,2,0,0,3,6,0.111,0.238,0.111,0.349,100,669364
