date,rank,player_name,team,positions,fp_player_id,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,K,SLG,OPS,rost_pct_consensus,rost_pct_yahoo,rost_pct_espn
2026-06-24,1,Jac Caglianone,KC,"1B,RF,DH",7354363,57,17,8,15,1,.368,.429,21,2,0,5,17,.825,1.253,63%,78%,48%
2026-06-24,2,Pete Crow-Armstrong,CHC,CF,23369,49,11,6,11,4,.429,.491,21,4,2,7,14,.959,1.450,98%,99%,98%
2026-06-24,3,Byron Buxton,MIN,"CF,DH",4672,58,13,7,13,2,.345,.387,20,4,0,4,14,.776,1.163,96%,98%,95%
2026-06-24,4,Nasim Nunez,WSH,"2B,SS",19789,39,8,0,8,8,.436,.500,17,2,2,5,11,.590,1.090,19%,27%,11%
2026-06-24,5,Dillon Dingler,DET,"C,DH",43821,55,12,4,12,0,.418,.421,23,3,2,0,15,.764,1.185,86%,87%,85%
2026-06-24,6,Jazz Chisholm Jr.,NYY,"2B,3B",8449,43,11,4,8,7,.233,.365,10,0,1,9,14,.558,.924,93%,99%,88%
2026-06-24,7,Zack Gelof,ATH,"2B,3B,CF",44896,44,15,4,8,2,.364,.429,16,3,0,3,10,.705,1.133,57%,69%,44%
2026-06-24,8,Bryan Reynolds,PIT,"LF,CF,RF,DH",6818,50,10,5,12,0,.400,.455,20,5,0,4,11,.800,1.255,90%,93%,88%
2026-06-24,9,Otto Lopez,MIA,"2B,SS",10618,56,13,0,6,6,.339,.387,19,5,0,5,4,.429,.816,90%,92%,89%
2026-06-24,10,Kyle Schwarber,PHI,"LF,DH",5686,47,11,6,12,0,.319,.396,15,0,0,6,19,.702,1.098,99%,99%,100%
2026-06-24,11,Ivan Herrera,STL,"C,DH",43691,45,15,3,7,3,.311,.523,14,1,0,12,6,.533,1.056,86%,92%,80%
2026-06-24,12,TJ Rumfield,COL,"1B,DH",45014,53,10,5,13,0,.340,.417,18,4,1,5,8,.736,1.153,44%,37%,51%
2026-06-24,13,Fernando Tatis Jr.,SD,"2B,RF",6853,55,11,2,9,3,.364,.390,20,6,0,3,8,.582,.972,99%,99%,99%
2026-06-24,14,Nick Kurtz,ATH,1B,7354364,49,11,5,13,0,.306,.433,15,3,0,11,20,.674,1.107,99%,99%,98%
2026-06-24,15,Bryson Stott,PHI,"2B,SS",22308,48,11,1,10,4,.333,.396,16,4,1,4,7,.521,.917,41%,44%,39%
2026-06-24,16,Alec Burleson,STL,"1B,LF,RF,DH",43889,58,10,5,14,0,.276,.328,16,4,1,4,8,.638,.966,94%,94%,94%
2026-06-24,17,Bo Bichette,NYM,"3B,SS",6808,54,10,4,12,0,.333,.351,18,3,0,2,11,.611,.962,88%,95%,81%
2026-06-24,18,Pete Alonso,BAL,"1B,DH",6960,49,11,5,12,0,.286,.410,14,1,0,9,17,.612,1.022,98%,99%,96%
2026-06-24,19,Josh Bell,MIN,"1B,DH",4664,50,9,3,13,0,.360,.418,18,3,0,5,6,.600,1.018,15%,17%,14%
2026-06-24,20,Wyatt Langford,TEX,"LF,CF",47238,58,9,4,11,1,.310,.375,18,3,0,5,14,.569,.944,79%,92%,66%
2026-06-24,21,James Wood,WSH,"LF,RF,DH",44720,52,12,3,9,2,.289,.350,15,4,0,6,17,.539,.889,99%,99%,99%
2026-06-24,22,Jackson Chourio,MIL,"LF,CF,RF",44592,56,8,6,13,0,.268,.305,15,1,0,2,13,.607,.912,97%,99%,95%
2026-06-24,23,George Springer,TOR,"LF,CF,RF,DH",4614,42,9,3,7,3,.333,.453,14,1,0,9,8,.571,1.024,76%,82%,71%
2026-06-24,24,Yordan Alvarez,HOU,"LF,DH",6461,48,11,3,8,0,.396,.482,19,3,0,8,6,.646,1.128,99%,99%,100%
2026-06-24,25,Carter Jensen,KC,"C,DH",44759,49,11,2,9,1,.367,.426,18,7,0,5,6,.633,1.059,53%,63%,43%
2026-06-24,26,JJ Wetherholt,STL,"2B,3B,SS",7354366,57,9,3,9,1,.351,.403,20,1,0,4,7,.526,.930,88%,93%,84%
2026-06-24,27,Samad Taylor,SD,"2B,LF,RF",44697,47,8,1,6,4,.383,.431,18,1,0,4,14,.468,.900,13%,19%,7%
2026-06-24,28,Caleb Durbin,BOS,"2B,3B",45944,43,8,4,7,2,.349,.370,15,3,0,2,5,.698,1.067,24%,19%,29%
2026-06-24,29,Shohei Ohtani,LAD,"SP,DH",7354,38,11,6,10,0,.237,.400,9,1,0,11,12,.737,1.137,100%,,100%
2026-06-24,30,Bobby Witt Jr.,KC,SS,6810,38,7,1,5,5,.395,.465,15,2,0,5,2,.526,.991,99%,99%,100%
2026-06-24,31,Travis Bazzana,CLE,2B,7354362,42,10,3,7,3,.286,.412,12,2,0,9,10,.548,.959,42%,50%,33%
2026-06-24,32,Jackson Merrill,SD,CF,44756,57,7,2,7,5,.281,.305,16,4,1,2,12,.491,.796,86%,93%,79%
2026-06-24,33,Juan Soto,NYM,"LF,RF,DH",6906,43,8,4,8,0,.395,.509,17,3,0,10,4,.744,1.254,99%,99%,100%
2026-06-24,34,Royce Lewis,MIN,"1B,3B",6967,55,8,4,8,2,.291,.344,16,3,0,5,13,.564,.908,28%,44%,12%
2026-06-24,35,Willi Castro,COL,"1B,2B,3B,SS,LF,RF",5997,53,7,3,11,1,.321,.400,17,3,0,7,10,.547,.947,36%,52%,21%
2026-06-24,36,Kazuma Okamoto,TOR,"1B,3B",7356401,40,8,4,12,0,.300,.408,12,4,0,7,14,.700,1.108,65%,85%,46%
2026-06-24,37,Sam Antonacci,CWS,"2B,3B,LF",7354566,41,8,3,7,3,.293,.383,12,2,0,5,9,.561,.944,32%,42%,22%
2026-06-24,38,Dylan Crews,WSH,"CF,RF",8269,49,10,3,11,1,.265,.294,13,3,0,1,9,.510,.804,18%,30%,6%
