Batter,Icon,Pitcher,Game,HRF,qAB,HH%,AB,H,2B/3B,HR,BB,BA,OBP,OPS
"D. Romo, C (B)",v>,D. Kremer (R),CHA @ BAL,1.5,100%,0%,1,1,1,0,0,1.000,1.000,3.000
"R. Grichuk, OF (R)",^>,D. Kremer (R),CHA @ BAL,1.5,50%,0%,6,1,0,0,0,.167,.167,.334
"C. Meidroth, SS (R)",^>,D. Kremer (R),CHA @ BAL,1.5,33%,0%,3,1,0,0,0,.333,.333,.666
"T. France, 1B (R)",^v,C. Rea (R),SDN @ CHN,1.8,40%,0%,5,1,0,0,0,.200,.200,.400
"A. Bregman, 3B (R)",^^,W. Buehler (R),SDN @ CHN,1.8,40%,40%,4,1,1,0,0,.250,.400,.900
"X. Bogaerts, 2B (R)",^v,C. Rea (R),SDN @ CHN,1.8,50%,0%,3,1,0,0,0,.333,.333,.666
"P. Crow-Armstrong, OF (L)",^^,W. Buehler (R),SDN @ CHN,1.8,100%,50%,4,1,0,0,0,.250,.250,.500
"B. Nimmo, OF (L)",vv,J. Cantillo,TEX @ CLE,1.4,---,,2,1,1,0,1,.500,.667,1.667
"J. Foscue, DH (R)",^v,J. Cantillo,TEX @ CLE,1.4,---,,2,1,0,1,1,.500,.667,2.667
"R. Hoskins, 1B (R)",v>,M. Gore (L),TEX @ CLE,1.4,40%,20%,4,1,0,0,1,.250,.400,.650
"E. Ruiz, OF (R)",vv,K. Freeland (L),MIA @ COL,1.2,50%,0%,2,1,1,0,0,.500,.500,1.500
"O. Lopez, 2B (R)",^v,K. Freeland (L),MIA @ COL,1.2,44%,22%,8,1,0,0,2,.125,.273,.398
"W. Castro, OF (B)",>^,M. Meyer,MIA @ COL,1.2,---,,2,1,1,0,1,.500,.667,1.667
"T. Freeman, OF (R)",^^,M. Meyer (R),MIA @ COL,1.2,50%,50%,2,1,0,0,0,.500,.500,1.000
"J. Meyers, OF (R)",vv,T. Bradley (R),MIN @ HOU,1.6,50%,25%,5,1,0,0,2,.200,.500,.700
"I. Paredes, 3B (R)",^v,T. Bradley (R),MIN @ HOU,1.6,17%,0%,6,1,0,1,0,.167,.167,.834
"B. Witt, SS (R)",^v,S. McClanahan (L),TBA @ KCA,1.7,40%,0%,4,1,0,1,1,.250,.400,1.400
"S. Perez, C (R)",vv,S. McClanahan (L),TBA @ KCA,1.7,43%,43%,10,1,0,0,0,.100,.100,.200
"T. Tolbert, 2B (R)",vv,S. McClanahan,TBA @ KCA,1.7,---,,1,1,0,0,0,1.000,1.000,2.000
"R. Palacios, OF (L)",vv,S. Lugo (R),TBA @ KCA,1.7,0%,0%,6,1,0,0,0,.167,.167,.334
"B. Dunn, OF (R)",v>,S. Drohan (L),CIN @ MIL,1.4,---,,3,1,0,0,0,.333,.333,.666
"S. Steer, OF (R)",v^,S. Drohan,CIN @ MIL,1.4,---,,2,1,0,0,0,.500,.500,1.000
"A. Vaughn, 1B (R)",^^,A. Abbott (L),CIN @ MIL,1.4,20%,20%,10,1,0,0,0,.100,.100,.200
"E. Suarez, 3B (R)",^^,S. Drohan,CIN @ MIL,1.4,---,,1,1,1,0,1,1.000,1.000,3.000
"B. Perkins, OF (B)",^^,A. Abbott (L),CIN @ MIL,1.4,18%,6%,16,1,0,0,0,.063,.063,.126
"S. Stewart, 3B (R)",^^,S. Drohan,CIN @ MIL,1.4,---,,2,1,0,0,0,.500,.500,1.000
"E. De La Cruz, SS (B)",v^,S. Drohan,CIN @ MIL,1.4,---,,3,1,0,0,0,.333,.333,.666
"A. Wells, C (L)",v^,T. Melton (R),DET @ NYA,1.6,100%,0%,1,1,0,1,0,1.000,1.000,5.000
"J. Caballero, SS (R)",v^,T. Melton (R),DET @ NYA,1.6,100%,100%,1,1,0,0,0,1.000,1.000,2.000
"E. Valdez, 2B (L)",^^,Z. Wheeler (R),PIT @ PHI,1.8,25%,0%,4,1,0,0,0,.250,.250,.500
"T. Turner, SS (R)",^^,P. Skenes (R),PIT @ PHI,1.8,17%,17%,9,1,0,0,0,.111,.111,.222
"J. Realmuto, C (R)",v^,P. Skenes,PIT @ PHI,1.8,---,,2,1,0,0,0,.500,.500,1.000
"N. Gonzales, 2B (R)",^^,Z. Wheeler (R),PIT @ PHI,1.8,0%,0%,7,1,0,0,0,.143,.143,.286
"E. Rodriguez, C (B)",^^,Z. Wheeler (R),PIT @ PHI,1.8,67%,67%,3,1,0,0,0,.333,.333,.666
"A. Kirk, C (R)",vv,F. Peralta (R),NYN @ TOR,n/a,50%,50%,2,1,1,0,0,.500,.500,1.500
"D. Varsho, OF (L)",vv,F. Peralta (R),NYN @ TOR,n/a,29%,0%,6,1,0,0,1,.167,.286,.453
"G. Springer, OF (R)",vv,F. Peralta (R),NYN @ TOR,n/a,17%,17%,5,1,0,0,0,.200,.333,.533
"G. Moreno, C (R)",^v,T. McDonald (R),SFN @ ARI,n/a,0%,0%,1,0,0,0,0,.000,.000,.000
"D. Gilbert, CF (L)",^v,Z. Gallen (R),SFN @ ARI,n/a,40%,0%,5,0,0,0,0,.000,.000,.000
